Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1208,0,2,2.7477544701986667,1.3101999999989289,27.889999999999972,615.0,63.2364308154487,0.0,2,3,3,3,3,4,4,5,28,28,28
,Aggregated,1208,0,2,2.7477544701986667,1.3101999999989289,27.889999999999972,615.0,63.2364308154487,0.0,2,3,3,3,3,4,4,5,28,28,28
